Reference_ID,open_now,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
49cd893f8efe7e3e32054e5a9f0cc64eb16ca103,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 PM – 12:00 AM","Saturday: 12:00 PM – 12:00 AM","Sunday: Closed"
9bfa2a217206d54db71235763e6c9d0bb6012cb4,1,"Monday: 11:00 AM – 11:00 PM","Tuesday: 11:00 AM – 11:00 PM","Wednesday: 11:00 AM – 11:00 PM","Thursday: 11:00 AM – 11:00 PM","Friday: 11:00 AM – 11:00 PM","Saturday: 11:00 AM – 11:00 PM","Sunday: 11:00 AM – 11:00 PM"
e4ea4ca33120d94091322eecd0a79700fa693493,1,"Monday: 6:00 AM – 9:00 PM","Tuesday: 6:00 AM – 9:00 PM","Wednesday: 6:00 AM – 9:00 PM","Thursday: 6:00 AM – 9:00 PM","Friday: 6:00 AM – 9:00 PM","Saturday: 6:00 AM – 9:00 PM","Sunday: 7:00 AM – 9:00 PM"
18cc06440904ce884726e2776e24bf6beac30e69,1,"Monday: 8:00 AM – 3:00 AM","Tuesday: 8:00 AM – 3:00 AM","Wednesday: 8:00 AM – 3:00 AM","Thursday: 8:00 AM – 3:00 AM","Friday: 8:00 AM – 4:00 AM","Saturday: 8:00 AM – 4:30 AM","Sunday: 9:00 AM – 3:00 AM"
36382d2b1f02adcfc9d0c9949e55bea3732c65f9,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 9:30 PM","Thursday: 12:00 – 10:30 PM","Friday: 12:00 – 10:30 PM","Saturday: 12:00 – 10:30 PM","Sunday: 12:00 – 9:30 PM"
97c42152fa4b8ec7d041fc47ac868cdfd180c9e3,,"Monday: 12:00 – 6:00 PM","Tuesday: 12:00 – 6:00 PM","Wednesday: 12:00 – 6:00 PM","Thursday: 12:00 – 6:00 PM","Friday: 12:00 – 6:00 PM","Saturday: 12:00 – 6:00 PM","Sunday: 12:00 – 6:00 PM"
617a4c58aa42facac51f3840b9fbc4fce3f62484,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 11:00 PM","Saturday: 12:00 – 11:00 PM","Sunday: 12:00 – 10:00 PM"
d3a8434cfac173f7ab1cdd1ec107f8b79575edd1,1,"Monday: 12:00 – 11:30 PM","Tuesday: 12:00 – 11:30 PM","Wednesday: 12:00 – 11:30 PM","Thursday: 12:00 – 11:30 PM","Friday: 12:00 – 11:30 PM","Saturday: 12:00 – 11:30 PM","Sunday: 12:00 – 11:30 PM"
29c2e7534c691924f9a44218ce1047054ea69f76,,,,,,,,
c3281d2a6b54cd03af9eec78c15e5af9f459cb33,,,,,,,,
061e49326f60568cf3ce05c2d6b0a05bbd4067e7,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 9:30 PM","Thursday: 12:00 – 9:30 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 10:00 AM – 9:00 PM"
8b224127bcc884c5edb43f9504be4e45c8cdfd07,1,"Monday: 10:00 AM – 1:30 AM","Tuesday: 10:00 AM – 1:30 AM","Wednesday: 10:00 AM – 1:30 AM","Thursday: 10:00 AM – 1:30 AM","Friday: 10:00 AM – 1:30 AM","Saturday: 10:00 AM – 1:30 AM","Sunday: 10:00 AM – 1:30 AM"
9080112078edb8507bf0167000f890caeb90dfc2,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 11:30 PM","Saturday: 12:00 – 11:30 PM","Sunday: 12:00 – 10:00 PM"
9ad5ee93b64f116d2f5361307a0b1780bf5f8087,1,"Monday: 11:00 AM – 1:30 AM","Tuesday: 11:00 AM – 1:30 AM","Wednesday: 11:00 AM – 1:30 AM","Thursday: 11:00 AM – 3:00 AM","Friday: 11:00 AM – 4:30 AM","Saturday: 11:00 AM – 4:30 AM","Sunday: 11:00 AM – 3:00 AM"
5dd2a419793d17818660340054ed70e71c5a69aa,1,"Monday: 8:00 AM – 11:30 PM","Tuesday: 8:00 AM – 11:30 PM","Wednesday: 8:00 AM – 11:30 PM","Thursday: 8:00 AM – 11:30 PM","Friday: 8:00 AM – 11:30 PM","Saturday: 10:30 AM – 11:30 PM","Sunday: 10:30 AM – 11:30 PM"
b104c3d9a3c49e8ca7d29809de4f533a11a6bc40,1,"Monday: 12:00 – 9:30 PM","Tuesday: 12:00 – 9:30 PM","Wednesday: 12:00 – 9:30 PM","Thursday: 12:00 – 9:30 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 12:00 – 9:30 PM"
18e1c51fc43335c8ca7153da8b96dc3a9a74320e,1,"Monday: Open 24 hours","Tuesday: Open 24 hours","Wednesday: Open 24 hours","Thursday: Open 24 hours","Friday: Open 24 hours","Saturday: Open 24 hours","Sunday: Open 24 hours"
678c7c09621a118e64b95ff223af327a3a506b83,1,"Monday: 12:00 – 2:15 PM, 5:30 – 9:00 PM","Tuesday: 12:00 – 2:15 PM, 5:30 – 9:30 PM","Wednesday: 12:00 – 2:15 PM, 5:30 – 9:30 PM","Thursday: 12:00 – 2:15 PM, 5:30 – 10:00 PM","Friday: 12:00 – 10:30 PM","Saturday: 11:00 AM – 3:45 PM, 4:00 – 10:30 PM","Sunday: 11:00 AM – 3:45 PM, 4:00 – 9:00 PM"
fac035912fba96f360b29c9441071a11529773a2,1,"Monday: 12:00 PM – 12:30 AM","Tuesday: 12:00 PM – 12:30 AM","Wednesday: 12:00 PM – 12:30 AM","Thursday: 12:00 PM – 1:30 AM","Friday: 12:00 PM – 2:00 AM","Saturday: 12:00 PM – 2:00 AM","Sunday: 12:00 PM – 12:30 AM"
312f6ce4e0b569da98e4d4e7bfa7783189f1f705,1,"Monday: 9:00 AM – 10:00 PM","Tuesday: 9:00 AM – 10:00 PM","Wednesday: 9:00 AM – 10:00 PM","Thursday: 9:00 AM – 10:00 PM","Friday: 9:00 AM – 10:00 PM","Saturday: 9:00 AM – 10:00 PM","Sunday: 9:00 AM – 10:00 PM"
4a69ff2dd34711c69567e307c9d0fec179cdb49e,1,"Monday: 12:00 – 11:00 PM","Tuesday: 12:00 – 11:00 PM","Wednesday: 12:00 – 11:00 PM","Thursday: 12:00 – 11:00 PM","Friday: 12:00 – 11:00 PM","Saturday: 11:00 AM – 11:00 PM","Sunday: 11:00 AM – 11:00 PM"
70f6341fbf1bc71d6ccf6623f454c213d232fe84,1,"Monday: 12:30 PM – 1:30 AM","Tuesday: 12:30 PM – 1:30 AM","Wednesday: 12:30 PM – 1:30 AM","Thursday: 12:30 PM – 1:30 AM","Friday: 12:30 PM – 2:30 AM","Saturday: 12:30 PM – 2:30 AM","Sunday: 12:30 PM – 12:00 AM"
cad72322c867858894c3c2f55261325687688b2f,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 10:00 PM","Saturday: 12:00 – 10:00 PM","Sunday: 12:00 – 10:00 PM"
08fb40ac8472b9c3ccc99d2c881df7b7f027db6f,1,"Monday: 11:30 AM – 11:30 PM","Tuesday: 11:30 AM – 11:30 PM","Wednesday: 11:30 AM – 11:30 PM","Thursday: 11:30 AM – 12:00 AM","Friday: 11:30 AM – 12:00 AM","Saturday: 11:30 AM – 12:00 AM","Sunday: 11:30 AM – 11:30 PM"
b6940c25d58fa073132569c9f5ac94f5536b6106,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 10:00 PM","Friday: 12:00 – 10:30 PM","Saturday: 5:00 – 10:30 PM","Sunday: 5:00 – 10:00 PM"
